id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
5243,1341,Beyond Good & Evil,"Jade and Pey'j are care-taking the children of Hillys orphaned by the DomZ. When Jade runs out of money to run the shield that protects them, she finds a photography job, cataloguing all the species on Hillys for a science museum. She is recruited by the IRIS Network, which suspects that the Alpha Sections are behind planet-wide disappearances. Jade's first target of investigation is an Alpha Sections factory.",2003-11-11 00:00:00.000,154,NULL,90.6000,6,86.4013,285
140561,128445,Bicycle Board Games,NULL,2003-10-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
23846,7557,Big Rigs: Over the Road Racing,NULL,2003-11-20 00:00:00.000,2,NULL,NULL,NULL,10.8461,19
139476,3810,Billy Hatcher and the Giant Egg,NULL,2003-09-23 00:00:00.000,4,NULL,70.0000,1,70.3677,12
14148,193611,Blade & Sword,NULL,2003-12-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14831,102073,Blade & Sword,NULL,2003-12-22 00:00:00.000,1,1,NULL,NULL,NULL,NULL
76494,178552,Blob Wars: Metal Blob Solid,NULL,2003-12-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
145357,24104,Bloody Roar 4,NULL,2003-11-11 00:00:00.000,7,NULL,86.0000,1,79.4547,10
195745,3825,BlowOut,NULL,2003-10-28 00:00:00.000,NULL,NULL,60.0000,1,30.0000,1
53954,7973,Blue's Clues Kindergarten,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
46519,47009,Bob the Builder: Bob's Castle Adventure,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
148994,213956,Bomba: The Explosive Hero,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
71743,22280,Bombastic,NULL,2003-09-27 00:00:00.000,NULL,NULL,81.0000,2,NULL,NULL
167929,49528,Bomberman Jetters: Game Collection,NULL,2003-11-16 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
118566,6717,Border Down,NULL,2003-09-25 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
156940,206472,Bowling Mania,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
182748,43425,Boxing Champions,NULL,2003-12-07 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
17166,10064,Bridge It,NULL,2003-09-25 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
194971,1151,Broken Sword: The Sleeping Dragon,"Powerful seismic events are shaking the world. Something sinister is emerging. An Ancient Conspiracy, the Secret of the Templars, and a fiendish source of pure Evil are responsible. The death of a back bedroom computer hacker in Paris is just the beginning of another extraordinary adventure for George Stobbart and Nico Collard. Welcome to the world of Broken Sword.",2003-11-14 00:00:00.000,16,NULL,60.0000,2,71.9158,63
30505,71558,Bud Redhead: The Time Chase,"One day Bud and Rachel were walking in a park when suddenly some strange green-furred creature jumped out of a bright flash of light. The creature grabbed Rachel and ran into the light which then disappeared. 
 
Bud is desperate! Only YOU can help him to rescue Rachel! 
 
Take a journey with Bud through space and time in pursuit of Feyatta, a well known green-furred intergalactic abductor. Your quest will lead you to 4 different places in space-time continuum: from the forest more than 8000 years ago, over Ancient Egypt and Medieval Castles, to a Space Ship orbiting Saturn a couple of million years in the future!",2003-12-31 00:00:00.000,2,NULL,NULL,NULL,NULL,NULL
133320,19413,Bujingai: The Forsaken City,NULL,2003-12-25 00:00:00.000,1,NULL,74.0000,1,NULL,NULL
168714,5763,Cabela's Dangerous Hunts,NULL,2003-11-11 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
166237,621,Call of Duty,NULL,2003-10-29 00:00:00.000,189,NULL,86.6667,4,82.2125,565
102710,64489,Capcom Arcade Hits Volume 1,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
133022,49519,Cardcaptor Sakura: Sakura Card de Mini-Game,NULL,2003-12-12 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
120234,130744,Cartoon Cartoon Summer Resort,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
14249,2810,Cartoon Network Speedway,NULL,2003-11-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
176092,35438,Casino Inc,NULL,2003-12-31 00:00:00.000,NULL,NULL,NULL,NULL,50.0000,1
42772,4149,Castle Shikigami 2,NULL,2003-10-24 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
